"burn"	"site"	"burnsite"	"mix.type"	"site.type"	"moist.class"	"elev"	"Lat.N."	"Lon.W."	"slope.deg"	"aspect"	"asp.folded"	"lat.rad"	"slope.rad"	"aspect.rad"	"ln.Htload."	"insolation"	"moisture"	"pH"	"text.class"	"org"	"BS.dens"	"BS.ba"	"TA.dens"	"TA.ba"	"PB.dens"	"PB.ba"	"BS.dens.post"	"TA.dens.post"	"PB.dens.post"	"BS.BAI"	"BS.rw"	"BS.mean.age"	"total.dens"	"bs.prop"	"ta.prop"	"pb.prop"
"57"	"TC"	"M3"	"TCM3"	"TA"	"TA"	2	697	63.85791	-142.23207	7.25	241	164	1.114530783	0.126536371	2.862339973	-1.666644566	0.79	23.66666667	5.466666667	2	5.4	0.166666667	1.44958321	0.225	2.066840717	0	0	5000	68000	5000	111.4306938	0.613009276	55.1	78000	0.0641025641025641	0.871794871794872	0.0641025641025641
"58"	"TC"	"M4"	"TCM4"	"TA"	"TA"	2	678	63.98396	-142.14635	9	158	113	1.11673077	0.157079633	1.972222055	-2.391371022	0.841	34	5.903333333	2	6.3	0.433333333	4.282514386	0.25	18.5186415	0.008333333	0.388052143	0	38000	0	83.72520538	0.808160568	32.4	38000	0	1	0
"59"	"TC"	"M5"	"TCM5"	"TA"	"TA"	2	682	63.96906	-142.16295	3	180	135	1.116470716	0.052359878	2.35619449	-1.659689368	0.788	41.66666667	5.95	2	6.2	0.508333333	4.807160359	0.141666667	17.38308665	0	0	1000	13000	0	59.35829138	0.795160968	31.1	14000	0.0714285714285714	0.928571428571429	0
"60"	"TC"	"M6"	"TCM6"	"TA"	"TA"	2	898	63.6229	-142.32236	15	120	75	1.110429085	0.261799388	1.308996939	-2.791200179	0.818	17.33333333	6.19	2	6.6	0.316666667	6.494195614	0.083333333	1.524326935	0	0	3000	29000	0	70.29153068	0.506996697	55.8	32000	0.09375	0.90625	0
"61"	"TC"	"M7"	"TCM7"	"PB"	"PB"	3	738	64.02663	-142.07826	5	238	167	1.117475502	0.087266463	2.914699851	-1.708776029	0.782	13	5.466666667	2	9.4	0.625	10.91192938	0	0	0.091666667	11.81651172	0	0	1000	55.41097697	0.319893321	65.875	1000	0	0	1
"62"	"TC"	"M8"	"TCM8"	"PB"	"PB"	1	676	63.36998	-142.56644	9	342	63	1.106014798	0.157079633	1.099557429	-2.622780377	0.656	9.333333333	6.1	1	7.4	0.691666667	6.784334785	0	0	0.033333333	1.361029567	29000	40000	139000	25.25008838	0.207389685	62.22222	208000	0.139423076923077	0.192307692307692	0.668269230769231
"63"	"TC"	"M9"	"TCM9"	"PB"	"PB"	1	806	63.40369	-142.47316	22	112	67	1.106603148	0.383972435	1.169370599	-2.370169245	0.799	64.66666667	5.21	1	4.2	0.25	6.779229697	0	0	0.175	14.81954705	3000	12000	6000	68.73565471	0.441355244	64.7	21000	0.142857142857143	0.571428571428571	0.285714285714286
"64"	"TC"	"M10"	"TCM10"	"PB"	"PB"	1	686	63.37014	-142.57756	15	172	127	1.10601759	0.261799388	2.21656815	-2.096305509	0.903	5.666666667	6.066666667	1	3.75	0.5	13.76554271	0	0	0.05	1.606335594	114000	49000	134000	34.92406747	0.247834124	60.8	297000	0.383838383838384	0.164983164983165	0.451178451178451
"65"	"TC"	"M11"	"TCM11"	"PB"	"PB"	2	724	64.00208	-142.11612	14	176	131	1.117047024	0.244346095	2.28638132	-2.50072931	0.892	18.66666667	5.483333333	2	5.1	0.283333333	15.16859108	0	0	0.075	6.888400042	1000	10000	0	86.87650521	0.430446106	72.33333	11000	0.0909090909090909	0.909090909090909	0
"66"	"TC"	"M12"	"TCM12"	"PB"	"PB"	2	744	64.00407	-142.11273	6	62	17	1.117081756	0.104719755	0.296705973	-0.644448865	0.718	19.33333333	5.286666667	2	4.5	0.258333333	6.751675312	0	0	0.058333333	6.146722376	19000	0	2000	89.22753759	0.648433412	45.5	21000	0.904761904761905	0	0.0952380952380952
"67"	"TC"	"D1"	"TCD1"	"BS"	"D"	3	659	63.96244	-142.16904	0	90	45	1.116355176	0	0.785398163	-0.660725972	0.755	57.33333333	6.46	5	15.3	0.408333333	17.95871805	0	0	0	0	8000	555.55556	2000	30.88950406	0.127145656	131.3	10555.55556	0.757894736522992	0.0526315793462604	0.189473684130748
"68"	"TC"	"D2"	"TCD2"	"BS"	"D"	2	796	63.50164	-142.4129	0	90	45	1.108312698	0	0.785398163	-0.17766215	0.76	45.66666667	6.576666667	3	15.6	0.391666667	8.686700037	0	0	0	0	5000	5000	0	40.12312265	0.203320212	119.3	10000	0.5	0.5	0
"69"	"TC"	"D3"	"TCD3"	"BS"	"D"	3	802	63.4045	-142.47238	0	90	45	1.106617286	0	0.785398163	-0.101365959	0.761	42	5.743333333	4	9	0.833333333	34.54868346	0	0	0	0	35000	2000	1000	35.87392505	0.236283376	63.33333	38000	0.921052631578947	0.0526315789473684	0.0263157894736842
"70"	"TC"	"N1"	"TCN1"	"BS"	"N"	5	665	63.9617	-142.16304	5.5	31	14	1.11634226	0.095993109	0.244346095	-2.330291491	0.659	51	5.95	5	17.1	0.708333333	4.833013048	0	0	0	0	28000	0	0	24.09063841	0.236905115	60	28000	1	0	0
"71"	"TC"	"N2"	"TCN2"	"BS"	"N"	3	857	63.56224	-142.3734	8.5	12	33	1.109370368	0.148352986	0.575958653	-1.708596408	0.657	18.33333333	5.15	3	6.6	0.266666667	14.12322612	0	0	0	0	1000	2000	0	52.38398362	0.299583938	92.22222	3000	0.333333333333333	0.666666666666667	0
"72"	"TC"	"N3"	"TCN3"	"BS"	"N"	2	840	63.42263	-142.49141	21.75	33	12	1.106933714	0.379609112	0.20943951	-2.571287194	0.502	8.333333333	4.616666667	2	8.4	0.208333333	10.98510231	0	0	0	0	36000	30000	2000	43.43039488	0.196312582	121	68000	0.529411764705882	0.441176470588235	0.0294117647058824
"73"	"TC"	"S1"	"TCS1"	"BS"	"S"	3	611	63.94592	-142.18526	10	220	175	1.116066847	0.174532925	3.054326191	-1.00841882	0.831	37.66666667	5.706666667	4	10.6	0.55	23.72282063	0	0	0	0	14000	17000	0	28.53068768	0.195815176	123.75	31000	0.451612903225806	0.548387096774194	0
"74"	"TC"	"S2"	"TCS2"	"BS"	"S"	2	870	63.53502	-142.39516	6.25	195	150	1.108895289	0.109083078	2.617993878	-0.170150005	0.824	28.66666667	5.476666667	5	9.3	0.708333333	29.34116639	0	0	0	0	333.33333	0	0	34.84656874	0.152895576	72.44444	333.33333	1	0	0
"75"	"TC"	"S3"	"TCS3"	"BS"	"S"	2	825	63.47665	-142.44905	5	210	165	1.107876541	0.087266463	2.879793266	-1.150584948	0.807	40.33333333	5.843333333	4	10.2	0.708333333	11.33682979	0	0	0	0	2000	166.66667	0	32.21288562	0.203435915	67.9	2166.66667	0.923076921656805	0.0769230783431953	0
"76"	"TC"	"W1"	"TCW1"	"BS"	"W"	6	595	64.06035	-142.02039	0	90	45	1.118064027	0	0.785398163	-0.782867131	0.754	57	6.286666667	5	18.1	0.258333333	1.608757238	0	0	0	0	30000	0	0	16.21337106	0.300440582	37.3	30000	1	0	0
"77"	"TC"	"W2"	"TCW2"	"BS"	"W"	6	596	63.92665	-142.19987	0	90	45	1.115730522	0	0.785398163	-0.617393582	0.756	57	6.246666667	5	15.8	0.216666667	4.890412564	0	0	0	0	39000	0	0	31.20647975	0.316013571	51.88889	39000	1	0	0
"78"	"TC"	"W3"	"TCW3"	"BS"	"W"	6	681	63.80704	-142.20879	0	90	45	1.113642934	0	0.785398163	-0.478632014	0.757	52.33333333	6.176666667	5	21.7	0.283333333	2.983793073	0	0	0	0	1000	0	0	23.15529545	0.382325541	45.4	1000	1	0	0
"79"	"EP"	"D1"	"EPD1"	"BS"	"D"	3	652	66.16379	-137.08949	0	90	45	1.154775981	0	0.785398163	-2.561617863	0.729	22.7	4.91	2	7.9	0.391666667	5.78	0	0	0	0	27000	0	0	NA	NA	NA	27000	1	0	0
